UC_ID,Status,Domain,Name,Evidence,What's_Missing
UC-C01,✅ IMPLEMENTED,Self-Healing,Real-time health monitoring,packages/gateway/src/health/sensors.ts (checkCpu/Memory/Disk/Network/Processes),GPU battery thermal connection pool
UC-C02,⚠️ PARTIAL,Self-Healing,Severity-based alerting,"packages/gateway/src/health/monitor.ts (HealthAlert struct, onReport listener)",Telegram Discord webhook email delivery channels
UC-C03,✅ IMPLEMENTED,Self-Healing,Auto-diagnosis and self-healing,"packages/gateway/src/health/repair.ts (autoRepair, diagnosis→plan→execute→verify)",Advanced ML diagnosis 12+ repair strategies
UC-C04,❌ MISSING,Self-Healing,Crash detection and auto-restart with backoff,None,Crash detection loop process restart backoff config watchdog
UC-C05,⚠️ PARTIAL,Self-Healing,Disk space rescue,"packages/gateway/src/health/repair.ts::repairDiskSpace (cleans 2 hardcoded paths)",General hog finder smart cache cleanup recycle bin safe cleanup rules
UC-C06,❌ MISSING,Self-Healing,Network self-healing per layer (L1-L4+),Only ping connectivity test,DNS routing L3/L4 port connection pool MTU
UC-C07,❌ MISSING,Self-Healing,Security threat auto-response,None,Process reputation connection anomaly isolation capability
UC-C08,⚠️ PARTIAL,Self-Healing,Agent self-watchdog,"packages/gateway/src/health/monitor.ts (start/stop setInterval onReport)","Heartbeat protocol crash recovery loop multi-instance coordination"
UC-C09,❌ MISSING,Self-Healing,Memory leak detection and mitigation,Only current % memory sensor,Trend analysis leak signature detection process cycling
UC-C10,❌ MISSING,Self-Healing,Thermal throttle prevention,None,Temperature sensor throttle detection cooling strategy
UC-C11,❌ MISSING,Self-Healing,Battery health monitoring and advice,None,Battery sensor charge trend health prediction drain forecast
UC-C12,❌ MISSING,Self-Healing,Periodic filesystem integrity check,None,fsck chkdsk integration scheduled scanning corruption recovery
UC-C13,⚠️ PARTIAL,Self-Healing,Zombie/orphan process cleanup,"packages/gateway/src/health/sensors.ts::checkProcesses + repair.ts::repairZombieProcesses",Orphan detection (invalid PPID) robust handling
UC-C14,❌ MISSING,Self-Healing,DNS/certificate expiry monitoring,None,DNS TTL monitoring certificate expiry tracking renewal triggers
UC-C15,❌ MISSING,Self-Healing,Service dependency graph health check,None,Dependency graph declaration cross-service health cascade detection
UC-C16,❌ MISSING,Self-Healing,Log anomaly detection,None,Log ingestion baseline ML model real-time anomaly detection
UC-C17,❌ MISSING,Self-Healing,Permission drift detection,None,Permission baseline capture drift detection unauthorized modification alerts
UC-C18,❌ MISSING,Self-Healing,SMART disk health prediction,None,SMART attribute collection failure prediction model data backup
UC-C19,❌ MISSING,Self-Healing,Post-update regression monitoring,None,System snapshot before/after state comparison regression detection
UC-C20,❌ MISSING,Self-Healing,Connection pool/port exhaustion detection,None,netstat integration port trending connection exhaustion alerts
UC-D01,✅ IMPLEMENTED,Hybrid,Complex task → DAG parallel execution,"packages/gateway/src/planner/graph.ts::StateGraph + orchestrator.ts",Data flow between stages (only control flow now)
UC-D02,❌ MISSING,Hybrid,Structured system migration,None,Migration state machine snapshot/restore consistency checks
UC-D03,❌ MISSING,Hybrid,Voice control (STT → intent → execute → TTS),None,Audio I/O Whisper/Google STT TTS integration
UC-D04,❌ MISSING,Hybrid,Learn repeated actions → auto-generate macros,None,Action sequence capture pattern mining macro suggestion
UC-D05,⚠️ PARTIAL,Hybrid,Multi-app orchestration,"Deep layer app.launch/control/quit + planFromIntent",Clipboard integration format conversion (Excel/Python/PowerPoint) app-specific APIs
UC-D06,⚠️ PARTIAL,Hybrid,Remote control via external bridge,"platform/bridge.ts + gateway WebSocket server + CLI/web UI","Telegram bot Discord slash commands webhook receivers channel auth"
UC-D07,❌ MISSING,Hybrid,Desired state enforcement (continuous drift correction),None,State model definition drift detection polling auto-correction reconciliation loop
UC-D08,❌ MISSING,Hybrid,Time-travel undo,None,State snapshots before actions undo stack rollback executor transaction semantics
UC-D09,❌ MISSING,Hybrid,Cross-device context handoff,None,Session context export cross-device sync protocol context re-import
UC-D10,❌ MISSING,Hybrid,Personalization via usage patterns,None,Behavior capture ML feature extraction preference model personalization rules
UC-D11,✅ IMPLEMENTED,Hybrid,Natural language → script generation → execution,"classifyIntent + planFromIntent + decomposeMultiStep + extractShellCommand",Advanced reasoning state management within scripts
UC-D12,❌ MISSING,Hybrid,Context-aware next-action suggestion,None,Context state tracking action history analysis prediction model ranking
UC-D13,❌ MISSING,Hybrid,Multi-user isolation on same machine,None,OS-level user context session isolation auth per user sandboxed execution
UC-D14,❌ MISSING,Hybrid,Workflow template library,None,Template schema template storage backend UI template browser parameterization
UC-D15,❌ MISSING,Hybrid,AI-assisted debugging,None,Error categorization LLM-based fix suggestion debug log collection fix verification
UC-D16,❌ MISSING,Hybrid,Auto file labeling and organization,None,ML-based file classifier tag generation auto-rename/move user feedback loop
UC-D17,⚠️ PARTIAL,Hybrid,Scheduled health reports,"HealthMonitor + gateway taskHistory + HealthDashboard component",Scheduled report delivery multi-format export (PDF/HTML/JSON) trend analysis automatic delivery
UC-D18,❌ MISSING,Hybrid,Machine/environment diff comparison,None,Environment snapshot (tools/files/config) diff engine visualization
UC-D19,❌ MISSING,Hybrid,Incident timeline reconstruction,None,Fine-grained event logging timeline indexing visualization forensic drill-down
UC-D20,⚠️ PARTIAL,Hybrid,Plugin/extension management,"PluginRegistry manifest loading status tracking (TODO: module loading at line 76)","Actual module load hook execution capability registration plugin isolation"
UC-D21,⚠️ PARTIAL,Hybrid,Local data pipeline automation,"CLI/web UI task DAG execution Deep layer file I/O","Data-aware DAG model intermediate data passing incremental checkpoints stage-level retry"
UC-D22,❌ MISSING,Hybrid,Compliance/policy checking,None,Policy DSL rule engine enforcement executor audit trail compliance reporting
UC-D23,❌ MISSING,Hybrid,Smart notification digest,None,Notification queue aggregation logic priority scoring digest formatter delivery
UC-D24,❌ MISSING,Hybrid,Context-aware documentation lookup,None,Context extraction doc index semantic search result ranking in-app doc display
UC-D25,❌ MISSING,Hybrid,Resource usage forecasting,None,Metrics collection time-series model trend prediction forecast UI alert thresholds
